tid,chembl_id
1,CHEMBL2074
2,CHEMBL1971
3,CHEMBL1827
4,CHEMBL1859
5,CHEMBL1884
6,CHEMBL202
7,CHEMBL1809
8,CHEMBL1862
9,CHEMBL203
10,CHEMBL1852
11,CHEMBL204
12,CHEMBL1801
13,CHEMBL2065
14,CHEMBL1910
15,CHEMBL205
16,CHEMBL1950
18,CHEMBL1813
19,CHEMBL206
21,CHEMBL2051
22,CHEMBL2052
23,CHEMBL2000
24,CHEMBL402
25,CHEMBL2034
27,CHEMBL1872
28,CHEMBL1952
29,CHEMBL1807
30,CHEMBL1935
32,CHEMBL2033
33,CHEMBL1848
34,CHEMBL1905
35,CHEMBL1981
36,CHEMBL208
37,CHEMBL1826
38,CHEMBL1968
39,CHEMBL1969
40,CHEMBL1839
41,CHEMBL1970
42,CHEMBL209
43,CHEMBL210
45,CHEMBL1956
46,CHEMBL1840
47,CHEMBL211
48,CHEMBL1994
49,CHEMBL212
50,CHEMBL213
51,CHEMBL214
52,CHEMBL1867
53,CHEMBL1858
54,CHEMBL1828
55,CHEMBL215
56,CHEMBL1871
57,CHEMBL2055
58,CHEMBL1780
59,CHEMBL1860
60,CHEMBL1976
61,CHEMBL216
62,CHEMBL1781
63,CHEMBL1806
64,CHEMBL1977
65,CHEMBL1978
68,CHEMBL2002
69,CHEMBL1808
70,CHEMBL1939
71,CHEMBL1782
72,CHEMBL217
73,CHEMBL1973
74,CHEMBL1962
76,CHEMBL1908
77,CHEMBL1812
78,CHEMBL1963
79,CHEMBL1787
80,CHEMBL1902
81,CHEMBL1842
83,CHEMBL1843
84,CHEMBL1822
86,CHEMBL1951
87,CHEMBL218
88,CHEMBL2056
89,CHEMBL1846
90,CHEMBL219
91,CHEMBL2023
93,CHEMBL220
95,CHEMBL1854
96,CHEMBL221
97,CHEMBL2075
98,CHEMBL1830
99,CHEMBL2024
100,CHEMBL222
102,CHEMBL1941
103,CHEMBL223
104,CHEMBL2039
105,CHEMBL1983
106,CHEMBL1898
107,CHEMBL224
108,CHEMBL225
109,CHEMBL1984
110,CHEMBL1857
111,CHEMBL1786
112,CHEMBL1790
113,CHEMBL1903
114,CHEMBL226
115,CHEMBL227
116,CHEMBL2049
117,CHEMBL1804
118,CHEMBL1855
119,CHEMBL1832
120,CHEMBL1856
121,CHEMBL228
122,CHEMBL1888
123,CHEMBL1861
124,CHEMBL1800
125,CHEMBL229
126,CHEMBL230
127,CHEMBL231
128,CHEMBL232
129,CHEMBL233
130,CHEMBL234
131,CHEMBL1845
132,CHEMBL1791
133,CHEMBL235
134,CHEMBL1889
136,CHEMBL236
137,CHEMBL237
138,CHEMBL2014
139,CHEMBL1982
140,CHEMBL1987
142,CHEMBL1881
143,CHEMBL1995
144,CHEMBL1899
145,CHEMBL1849
146,CHEMBL1985
147,CHEMBL1925
148,CHEMBL1921
149,CHEMBL1929
150,CHEMBL1919
151,CHEMBL1876
152,CHEMBL1877
153,CHEMBL2044
154,CHEMBL1965
155,CHEMBL238
157,CHEMBL1966
158,CHEMBL2032
159,CHEMBL1777
160,CHEMBL1793
161,CHEMBL2015
162,CHEMBL1893
163,CHEMBL239
164,CHEMBL2071
165,CHEMBL240
166,CHEMBL1972
167,CHEMBL1874
168,CHEMBL1875
169,CHEMBL1940
